id	word	tier	level	category	written_freq	spoken_freq	zhuyin	pinyin	definition	grammar
38807	愁眉苦臉	精熟	第7級		4.0	3.0	ㄔㄡˊ ㄇㄟˊ ㄎㄨˇ ㄌㄧㄢˇ	chóuméikǔliǎn	to look anxious (idiom), to look miserable	verb
38808	稠密	精熟	第7級		2.0	5.0	ㄔㄡˊ ㄇㄧˋ	chóumì	dense	noun
38809	臭氣	精熟	第7級		3.0	2.0	ㄔㄡˋ ㄑㄧˋ	chòuqì	stench	noun
38810	籌錢	精熟	第7級		2.0	1.0	ㄔㄡˊ ㄑㄧㄢˊ	chóuqián	to raise money	verb
38811	抽籤	精熟	第7級		4.0	3.0	ㄔㄡ ㄑㄧㄢ	chōuqiān	to perform divination with sticks, to draw lots, a ballot (in share dealing)	verb
38812	抽取	精熟	第7級		4.0	6.0	ㄔㄡ ㄑㄩˇ	chōuqǔ	to extract, to remove, to draw (a sales commission, venom from a snake etc)	verb
38813	愁容	精熟	第7級		3.0	1.0	ㄔㄡˊ ㄖㄨㄥˊ	chóuróng	a sad face	noun
38814	抽身	精熟	第7級		2.0	1.0	ㄔㄡ ㄕㄣ	chōushēn	to get away from, to withdraw, to free oneself	verb
38815	仇視	精熟	第7級		3.0	1.0	ㄔㄡˊ ㄕˋ	chóushì	to view sb as an enemy, to be hateful towards	verb
38816	抽絲剝繭	精熟	第7級		2.0	1.0	ㄔㄡ ㄙ ㄅㄛ ㄐㄧㄢˇ	chōusībōjiǎn	lit. to unwind the silk thread from the cocoon (idiom), fig. to unravel a mystery, to painstakingly follow the clues to eventually get to the bottom of the matter	noun
38817	出醜	精熟	第7級		2.0	0.0	ㄔㄨ ㄔㄡˇ	chūchǒu	to make a fool of oneself	verb
38818	出道	精熟	第7級		2.0	1.0	ㄔㄨ ㄉㄠˋ	chūdào	to start one's career, (of an entertainer) to make one's debut	verb
38819	觸犯	精熟	第7級		5.0	1.0	ㄔㄨˋ ㄈㄢˋ	chùfàn	to violate, to offend	verb
38820	出關	精熟	第7級		2.0	2.0	ㄔㄨ ㄍㄨㄢ	chūguān	to exit the border crossing	verb
38821	出汗	精熟	第7級		4.0	1.0	ㄔㄨ ㄏㄢˋ	chūhàn	to perspire, to sweat	verb
38822	出類拔萃	精熟	第7級		3.0	1.0	ㄔㄨ ㄌㄟˋ ㄅㄚˊ ㄘㄨㄟˋ	chūlèibácuì	to excel the common (idiom), surpassing, preeminent, outstanding	verb
38823	矗立	精熟	第7級		6.0	6.0	ㄔㄨˋ ㄌㄧˋ	chùlì	to tower, standing tall and upright (of large building)	verb
38824	出籠	精熟	第7級		4.0	1.0	ㄔㄨ ㄌㄨㄥˊ	chūlóng	(of food) to be taken out of the steamer, (fig.) (often used with 紛紛|纷纷[fen1 fen1]) (of products, information etc) to appear, to emerge, to come out, (fig.) to dump, to inundate the market	noun
38825	出沒	精熟	第7級		6.0	3.0	ㄔㄨ ㄇㄛˋ	chūmò	to come and go, to roam about (mostly unseen), (of a ghost) to haunt (a place), (of a criminal) to stalk (the streets), (of the sun) to rise and set	verb
38826	處女	精熟	第7級		7.0	1.0	ㄔㄨˇ ㄋㄩˇ	chǔnǚ	virgin, maiden, maiden (voyage etc), virgin (land), (a novelist's) first (work)	noun
38827	出氣	精熟	第7級		4.0	1.0	ㄔㄨ ㄑㄧˋ	chūqì	to vent one's anger, to breathe out, to exhale	verb
38828	出其不意	精熟	第7級		4.0	1.0	ㄔㄨ ㄑㄧˊ ㄅㄨˋ ㄧˋ	chūqíbùyì	to do sth when least expected (idiom), to catch sb off guard	verb
38829	出人意表	精熟	第7級		3.0	0.0	ㄔㄨ ㄖㄣˊ ㄧˋ ㄅㄧㄠˇ	chūrényìbiǎo	to exceed all expectations, to come as a surprise	verb
38830	出神	精熟	第7級		5.0	0.0	ㄔㄨ ㄕㄣˊ	chūshén	spellbound, entranced, lost in thought	noun
38831	畜生	精熟	第7級		3.0	1.0	ㄔㄨˋ ㄕㄥ	chùshēng	domestic animal, brute, bastard	noun
38832	出示	精熟	第7級		3.0	1.0	ㄔㄨ ㄕˋ	chūshì	to show, to take out and show to others, to display	verb
38833	出使	精熟	第7級		5.0	2.0	ㄔㄨ ㄕˇ	chūshǐ	to go abroad as ambassador, to be sent on a diplomatic mission	verb
38834	出師	精熟	第7級		4.0	1.0	ㄔㄨ ㄕ	chūshī	to finish apprenticeship, to graduate, to send out troops (under a commander)	verb
38835	處所	精熟	第7級		3.0	1.0	ㄔㄨˋ ㄙㄨㄛˇ	chùsuǒ	place	noun
38836	出庭	精熟	第7級		3.0	0.0	ㄔㄨ ㄊㄧㄥˊ	chūtíng	to appear in court	verb
38837	鋤頭	精熟	第7級		7.0	12.0	ㄔㄨˊ ˙ㄊㄡ	chútou	hoe, CL:把[ba3]	noun
38838	出土	精熟	第7級		6.0	9.0	ㄔㄨ ㄊㄨˇ	chūtǔ	to dig up, to appear in an excavation, unearthed, to come up out of the ground	verb
38839	出息	精熟	第7級		2.0	0.0	ㄔㄨ ˙ㄒㄧ	chūxi	future prospects, profit, to mature, to grow up	noun
38840	處心積慮	精熟	第7級		3.0	1.0	ㄔㄨˇ ㄒㄧㄣ ㄐㄧ ㄌㄩˋ	chǔxīnjīlǜ	to plot actively (idiom), scheming, calculating	verb
38841	儲蓄	精熟	第7級		5.0	3.0	ㄔㄨˊ ㄒㄩˋ	chúxù	to deposit money, to save, savings	verb
38842	出戰	精熟	第7級		4.0	0.0	ㄔㄨ ㄓㄢˋ	chūzhàn	(military) to go off to war, (sports) to compete	
38843	初衷	精熟	第7級		6.0	5.0	ㄔㄨ ㄓㄨㄥ	chūzhōng	original intention	noun
38844	踹	精熟	第7級		3.0	1.0	ㄔㄨㄞˋ	chuài	to kick, to trample, to tread on	verb
38845	揣測	精熟	第7級		5.0	2.0	ㄔㄨㄞˇ ㄘㄜˋ	chuǎicè	to guess, to conjecture	verb
38846	揣摩	精熟	第7級		5.0	4.0	ㄔㄨㄞˇ ㄇㄛˊ	chuǎimó	to analyze, to try to figure out, to try to fathom	verb
38847	船艙	精熟	第7級		3.0	1.0	ㄔㄨㄢˊ ㄘㄤ	chuáncāng	hold of ship	noun
38848	穿插	精熟	第7級		4.0	2.0	ㄔㄨㄢ ㄔㄚ	chuānchā	to insert, to take turns, alternate, to interweave, to interlace, subplot, interlude, episode, (military) to thrust deep into the enemy forces	verb
38849	傳喚	精熟	第7級		3.0	1.0	ㄔㄨㄢˊ ㄏㄨㄢˋ	chuánhuàn	a summons (to the police), subpoena	
38850	串連	精熟	第7級		4.0	10.0	ㄔㄨㄢˋ ㄌㄧㄢˊ	chuànlián	to establish ties; to contact (electricity); to connect (components) in series (串聯)	verb
38851	傳令	精熟	第7級		4.0	1.0	ㄔㄨㄢˊ ㄌㄧㄥˋ	chuánlìng	to transmit an order	verb
38852	川流不息	精熟	第7級		2.0	3.0	ㄔㄨㄢ ㄌㄧㄡˊ ㄅㄨˋ ㄒㄧˊ	chuānliúbùxí	the stream flows without stopping (idiom), unending flow	
38853	傳人	精熟	第7級		3.0	5.0	ㄔㄨㄢˊ ㄖㄣˊ	chuánrén	to teach, to impart, a disciple, descendant	verb
